en,ko,word_freqs_ententen
posters,포스터,136915
pot,냄비,254981
pot,화분,254981
pottery,도자기,40348
pour,부어,110564
powder,가루,226702
powder,파우더,226702
prairie,프레리,29869
pratt,프랫,706
precedent,선례,48777
precipitation,강수,32657
precisely,정확히,342738
precisely,정확하게,342738
precision,정밀도,118788
precision,정밀,118788
prefix,접두사,29609
prefix,접두어,29609
pregnancy,임신,375821
prehistoric,선사시대,24750
prejudice,편견,62232
premiership,프리미어십,6617
preview,미리보기,116626
prey,먹이,88568
primitive,원시,70871
privileges,권한,77020
prizes,상금,140726
proceed,진행하기,232342
proceed,진행,232342
processor,프로세서,196512
productive,생산적,264497
profits,수익,378127
profits,이익,378127
prohibited,금지,108953
prohibition,금주법,49394
projected,투영,134278
promises,약속,244502
pronunciation,발음,29497
prophet,예언자,84580
proportion,비례,186713
proportion,비율,186713
prosecution,기소,92762
prospect,전망,214638
protagonist,주인공,36353
protective,보호,156833
proud,자랑,514864
provider,제공자,657989
provider,공급자,657989
providers,공급자,663533
proximity,근접,102062
pump,펌프,255719
punch,펀치,115070
pupil,동공,57013
pupil,눈동자,57013
puppet,꼭두각시,36505
puzzle,퍼즐,109187
pyramid,피라미드,53456
pérez,페레즈,-
pérez,페레스,-
qatar,카타르,1769
quantities,수량,161377
quantity,수량,384336
quarterly,분기,91996
query,조회,153613
query,검색어,153613
query,쿼리,153613
quit,끝내기,292480
quit,종료,292480
rabbit,토끼,68447
racism,인종차별,88434
racist,인종차별,95546
radius,반지름,54763
rainbow,레인보우,52785
rainbow,무지개,52785
rams,램스,7795
randolph,랜돌프,533
ranger,레인저,17580
rational,합리적,131790
reactor,원자로,53639
realistic,현실적,234117
realm,왕국,139262
rebecca,레베카,2580
rebecca,리베카,2580
receptor,수용체,46748
recommendations,추천,396993
recover,복구,250867
recover,회복,250867
recreational,레크리에이션,131671
rectangular,직사각형,46474
rectangular,사각형,46474
reds,레즈,26089
reef,암초,52937
reflection,반사,171935
reflection,반영,171935
reformation,종교개혁,11832
refuse,거절,202351
regulated,규제,109943
regulatory,규제,242403
rehabilitation,재활,130490
relevance,관련성,105180
remake,리메이크,37307
renault,르노,839
rendering,렌더링,94963
rent,임대료,439376
rent,월세,439376
rent,임대,439376
rent,렌트,439376
rené,르네,-
rené,레네,-
repairs,수리,194568
replied,답글,196332
reporters,기자,158301
researcher,연구원,108541
researcher,연구자,108541
reservation,예약,105366
restriction,제한,76669
retire,은퇴,93197
reunion,동창회,55054
reunited,재결합,21912
reward,보상,268982
rewrite,재작성,34763
rex,렉스,3907
ribbon,리본,81270
ricardo,히카르도,481
ricardo,히카르두,481
ricardo,리카르도,481
rides,놀이기구,131755
rifles,소총,36408
riley,라일리,1765
riot,폭동,38138
riots,폭동,41089
risks,리스크,475914
risks,위험,475914
rita,리타,1234
ritual,의식,103185
riverside,리버사이드,19373
rockets,로켓,38034
rodriguez,로드리게즈,1148
rodriguez,로드리게스,1148
rolls,롤스,120906
roma,로마,2609
romans,로마인,2089
romeo,로미오,2826
rope,줄넘기,117208
rope,로프,117208
rope,밧줄,117208
roses,장미,81623
rubber,고무,192978
ruby,루비,25656
rudolf,루돌프,248
sacramento,새크라멘토,12039
sacrifice,희생,189042
saga,사가,35206
sailor,세일러,25882
salary,월급,290562
salary,급여,290562
salisbury,솔즈베리,772
sally,샐리,4034
salmon,연어,122257
salon,미용실,80000
salon,살롱,80000
samoa,사모아,619
sandbox,샌드박스,12844
sanders,샌더스,2924
sanskrit,산스크리트어,2719
santo,산토,890
sara,사라,3501
sara,세라,3501
satellites,인공위성,57249
satellites,위성,57249
satisfied,만족,309494
saturn,토성,1971
saves,저장,149398
savings,저축,607782
scales,저울,100517
scan,스캔,177464
scenario,시나리오,292623
scenario,시나리오는,292623
schemes,스킴,182011
schmidt,슈미트,920
scots,스코틀랜드인,692
scots,스코틀랜드,692
scots,스코트어,692
scouting,스카우트,27975
scratch,스크래치,163808
screening,시사회,204062
screening,상영,204062
screenshot,스크린샷,27114
scripts,스크립트,103504
seasonal,계절,128501
seating,좌석,114129
secondly,두번째로,35324
secrets,비밀,189426
sectors,섹터,241164
securities,증권,164557
sen,센다,7687
sends,보냅니다,157124
sensors,센서,103105
sequences,시퀀스,77851
servers,서버,264003
seventeen,세븐틴,35875
seventeen,열일곱,35875
seymour,시모어,816
shadows,그림자,89173
shadows,섀도,89173
shaft,샤프트,100563
shallow,얕은,108851
shane,셰인,1607
shannon,섀넌,2139
shapes,모양,226807
shark,상어,53947
sharks,상어,47828
sheikh,셰이크,2796
shepherd,양치기,32273
shepherd,셰퍼드,32273
sherman,셔먼,2257
shirley,셜리,1074
shirt,셔츠,275639
shiva,시바,1857
shoes,신발,1042624
shoots,새싹,70820
shortened,단축,36492
shuttle,셔틀,83579
siblings,형제자매,73900
siblings,남매,73900
siblings,형제,73900
sicily,시칠리아,650
sidney,시드니,780
sigma,시그마,8303
silence,침묵,192256
silence,사일런스,192256
silk,비단,124116
silk,실크,124116
silk,명주,124116
silly,바보,176131
simulation,시뮬레이션,109785
sinclair,싱클레어,683
singular,특이,74222
sitcom,시트콤,17114
sizes,크기,377695
sizes,사이즈,377695
sketch,스케치,66752
sketches,스케치,42590
skiing,스키,114536
skilled,숙련,283056
skull,해골,71525
skull,두개골,71525
slam,슬램,33767
slavic,슬라브어,380
slide,슬라이드,212077
slope,경사,81792
slot,슬롯,202624
slovak,슬로바키아인,330
slovak,슬로바키아,330
slovak,슬로바키아어,330
slovenian,슬로베니아어,291
slovenian,슬로베니아,291
smoking,흡연,492346
smoking,금연,492346
snail,달팽이,22676
socialism,사회주의,46660
sodium,나트륨,88024
softball,소프트볼,36115
somalia,소말리아,681
sonic,소닉,35583
soprano,소프라노,14198
souls,영혼,138166
southampton,사우샘프턴,1535
sovereignty,주권,68934
spa,스파,165022
spacecraft,우주선,58699
specially,특별히,210450
specialty,전문,159677
specification,사양,98036
specification,규격,98036
specifications,사양,174198
specify,지정합니다,149646
specify,지정하기,149646
specify,지정,149646
specimen,견본,41820
speeds,속도,158563
sphere,스피어,94641
spike,스파이크,48149
spirits,스피리츠,146829
sponsor,스폰서,169292
sponsor,후원,169292
sponsorship,스폰서,84348
stamps,우표,71931
stamps,스탬프,71931
stark,스타크,49221
static,정적,136961
statues,동상,41770
statues,조각상,41770
steady,꾸준히,235223
steal,훔쳐,143441
steelers,스틸러스,3417
steering,핸들링,117950
steering,스티어링,117950
stefan,스테판,1228
stefan,슈테판,1228
stems,줄기,80123
sterling,스털링,65530
stern,스턴,36458
stoke,스토크스,6269
stoke,스토크,6269
stopping,멈추기,192150
storms,폭풍,78855
strait,해협,8895
strategies,전략,719011
streak,연승,74188
strongest,최강,114403
struggles,투쟁,127876
stupid,멍청이,292617
stupid,멍청한,292617
stupid,바보,292617
stuttgart,슈투트가르트,428
submarines,잠수함,17118
subway,지하철,54979
sue,고소,70715
suffer,고통받고,437157
sunderland,선덜랜드,673
sunset,석양,84780
sunset,일몰,84780
sunset,선셋,84780
sunshine,햇빛,103666
sunshine,선샤인,103666
sunshine,햇살이,103666
sunshine,햇살,103666
superman,슈퍼맨,7316
supporter,서포터,71546
supporter,지지자,71546
surfaces,표면,177010
surgical,외과,205391
surveillance,감시,123831
surveys,설문조사,184232
survivor,생존자,48873
suspicious,의심,91695
suspicious,의심스러운,91695
swan,백조,15290
swan,스완,15290
swift,스위프트,68512
swim,수영,158738
swimmer,수영,19324
switching,전환,136893
symbolic,심볼릭,85825
synthetic,합성,151581
systematic,체계적,95151
sánchez,산체스,-
tagging,태그,26221
tai,타이,9519
tai,태극권,9519
taipei,타이페이,454
taipei,타이베이,454
taiwanese,대만,774
taiwanese,타이완,774
taiwanese,타이완어,774
talented,재능,233060
talented,재능있는,233060
tanzania,탄자니아,1062
tate,테이트,1910
taxi,택시,111086
teachings,가르침,112856
tears,눈물,222814
tears,눈물이,222814
teenage,십대,110938
tehran,테헤란,398
telecommunications,통신,78249
telescope,망원경,50907
tendency,경향,192854
tender,부드러운,162222
tension,텐션,227922
tension,긴장감,227922
tension,긴장,227922
terrace,테라스,64613
terrain,지형,123228
terrestrial,지상,31374
terrible,끔찍한,298960
testimony,증언,174810
textile,직물,55639
textile,섬유,55639
thames,템스,877
theaters,영화관,57642
theaters,극장,57642
theatres,극장,34249
theatres,영화관,34249
theft,도둑,194046
theft,도난,194046
theft,절도,194046
thomson,톰슨,1601
threatening,위협,136409
threatening,협박,136409
throwing,던지기,201749
tibet,티베트,864
tibetan,티베트어,2275
tibetan,티베트,2275
tibetan,티베트족,2275
tickets,티켓,418235
tide,조수,89289
timing,타이밍이,193662
timing,타이밍,193662
timothy,티모시,2424
tired,피곤한,381385
titans,타이탄,7205
tobago,토바고,1299
toledo,톨레도,7125
torn,찢어진,95448
tornado,토네이도,36574
torres,토레스,1083
torture,고문,121293
torture,고문의,121293
tough,터프,638893
tough,힘든,638893
tourists,관광객,197273
toxic,유독성,191947
toxic,독성,191947
toyota,토요타,18893
toys,장난감,302409
trace,추적,137102
trace,흔적,137102
trace,트레이스,137102
traces,자취,77497
traces,흔적,77497
tracking,추적,260366
tracking,트래킹,260366
tracy,트레이시,2794
trademark,상표권,113189
trademark,상표,113189
tragedy,비극,121462
trailer,트레일러,187116
trailer,예고편,187116
trails,흔적,153999
trails,궤적,153999
trails,트레일,153999
tram,트램,19296
transactions,거래,290964
transactions,트랜잭션,290964
transfers,전송,122301
transform,변형,197325
transform,변신,197325
transform,변환,197325
translate,번역하기,117311
translate,번역,117311
translator,번역,36655
translator,번역자,36655
translator,번역기,36655
transmitter,송신기,45363
transparent,투명,145782
transparent,투명한,145782
trap,함정,132686
trap,트랩,132686
trapped,갇힌,121946
trapped,갇혀,121946
trapped,갇혀있는,121946
travis,트레비스,2182
travis,트래비스,2182
trends,트렌드,380885
trends,경향,380885
trent,트렌트,1259
trevor,트레버,1196
tri,트라이,10474
trigger,트리거,229233
trilogy,삼부작,33748
trim,트림,125880
trim,다듬기,125880
triumph,트라이엄프,73045
trivia,퀴즈,31637
trucks,트럭,193334
trump,트럼프,19124
trunk,트렁크,89548
tubes,튜브,102654
tucker,터커,2793
tudor,튜더,1046
tuesday,화보,16279
tuesday,화이팅,16279
tunisia,튀니지,558
tunnels,터널,39376
turin,토리노,432
turks,터키인,1073
turtle,거북이,40646
turtle,거북,40646
typhoon,타이푼,6030
typhoon,태풍,6030
ultra,울트라,68670
uncommon,드문,104734
underwater,수중,81870
unemployment,실업,222979
uniforms,유니폼,65947
updates,업데이트,367134
upgrade,업그레이드,287198
upgraded,업그레이드,102777
urdu,우르두어,2288
usd,usd,6322
usd,미화,6322
useless,쓸모없는,150843
useless,쓸데없는,150843
vacuum,진공,178378
vague,애매하다,84240
valencia,발렌시아,1403
valentine,밸런타인,31243
valentine,발렌타인,31243
valleys,골짜기,43490
valued,가치,157132
valve,밸브,131853
variables,변수,170150
vatican,바티칸,1114
vault,볼트,29131
vegetation,식물,90680
venezuelan,베네수엘라,346
venus,금성,4730
venus,비너스,4730
verification,인증,106231
verification,검증,106231
vicinity,부근,78374
viewing,보기,282840
viking,바이킹,3402
vikings,바이킹,2197
villain,악당,39304
violating,위반,48571
visa,비자,162709
viscount,자작,893
vista,비스타,33410
volcano,화산,44843
voluntary,자발적,152096
vowel,모음,11731
vulnerable,취약,231732
wage,임금,178826
wagon,마차,56556
walked,걷기,404291
walks,걷기,228919
wanderers,원더러스,2679
warehouse,웨어하우스,99175
warehouse,창고,99175
warwick,워릭,5742
waterloo,워털루,1298
watts,와츠,36810
watts,왓츠,36810
webb,웨브,1199
weber,웨버,1659
webpage,웹페이지,99913
webster,웹스터,2169
wei,웨이,2402
weird,이상한,220928
werner,베르너,480
wesley,웨슬리,1449
whale,고래,52666
wheeler,휠러,8357
williamson,윌리엄슨,602
willis,윌리스,1338
wimbledon,윔블던,569
winchester,윈체스터,1982
winston,윈스턴,2808
wisdom,지혜,304118
withdrawal,금단,146052
withdrawal,철수,146052
witnesses,증인,128917
witnesses,목격자,128917
wives,아내,102937
wolfgang,볼프강,814
wolves,늑대,46875
wolves,늑대들,46875
wonderful,멋진,1173390
wondering,궁금해,362716
workshops,워크샵,244888
workshops,워크숍,244888
worried,걱정,316499
worry,걱정,653843
wound,부상,148966
wound,상처,148966
wounds,상처,95114
wow,와우,171968
wow,우와,171968
xbox,엑스박스,43268
yacht,요트,56049
yearly,매년,128839
yemen,예멘,627
yemen,남예멘,627
yesterday,어제,624435
yield,수익,215606
yuan,위안,260630
zagreb,자그레브,599
zip,우편번호,112502
łódź,우치,-
