et,sk
memm,mamička
memm,mama
memm,mamka
meningiit,meningitída
meremees,námorník
meridiaan,poludník
mesilane,včela
messing,mosadz
metafooriline,metaforický
metallraha,minca
metallurgia,hutníctvo
metslane,divoch
mida,čo
migreerima,migrovať
mikstuur,zmes
miljon,milión
millalgi,niekedy
minevik,minulý čas
minevik,minulosť
minimalistlik,minimalistický
mitmus,plurál
mitmus,množné číslo
mitu,niekoľko
modell,model
modernism,modernizmus
mohäär,mohér
molbert,stojan
moment,okamih
mongoli keel,mongolčina
monoloog,monológ
moodne,moderný
moodne,módny
moodustaja,zakladateľ
moon,mak
moosekant,hudobník
moosekant,hráčka
mootorratas,motorka
mootorratas,motocykel
mopp,mop
moratoorium,moratórium
morfiin,morfium
mu,môj
mugavus,pohodlie
mugavus,komfort
muidu,inakšie
muidu,ináč
muidu,napokon
muidu,inak
muidugi,isto
muidugi,iste
muidugi,samozrejme
mujale,inam
mujalt,odinakiaľ
muld,zemina
mulje,dojem
mull,bublina
mullune,vlaňajší
multimeedia,multimediálne
muna,vajce
murelik,ustaraný
muti,mama
muti,maminka
muundama,premeniť
muuseas,mimochodom
muusik,hráčka
muusik,hudobníčka
muusika,hudba
muusika,muzika
muusikaline,muzikálny
muusikaline,hudobný
mägine,hornatý
mägironimine,horolezectvo
mäletseja,prežúvavec
mälu,pamäť
mängija,hráč
mängima,odohrať
mängima,zahrať
mängima,zahrávať
mängima,hrať
mängimine,hranie
märg,mokrý
märg,zmoknutý
märgistamata,neoznačený
märkama,zbadať
märkama,všimnúť
märkama,zahliadnuť
märkama,vypozorovať
märkama,spozorovať
märts,marec
märtsikuu,marec
mässaja,rebel
määr,limit
määratlema,vymedziť
määratlema,špecifikovať
määratlema,definovať
määratud,menovaný
mõiste,pojem
mõistlikult,rozumne
mõistma,rozumieť
mõjutama,ovplyvniť
mõjutama,ovplyvňovať
mõjutama,pôsobiť
mõlemad ,oba
mõlemad ,obidva
mõnevõrra,troška
mõnevõrra,trošku
mõnevõrra,trochu
mõnevõrra,trocha
mõru,horký
mõtleja,mysliteľ
mõtlema,premýšľať
mõttetult,zbytočne
mõttetult,nezmyselne
mõttetult,bezúčelne
mõõtmine,meranie
möire,rev
mükoloog,mykológ
mürgitama,otráviť
müristama,burácať
müristama,hrmieť
müts,čiapka
müts,čapica
müük,predaj
müümine,predaj
müürsepp,murár
naast,gombík
nad,oni
naeruväärselt,smiešne
nagu,ako
naine,žena
naistevihkaja,mizogýn
nakkus,infekcia
nali,vtip
naljakas,komický
naljakas,smiešny
naljakas,vtipný
nats,nacista
natsism,nacizmus
natuke,málo
natuke,trocha
natuke,trochu
natuke,troška
natuke,trošku
navigaator,námorník
navigeerima,navigovať
neelama,pohltiť
neelama,zhltnúť
nefroloogia,nefrológia
neitsik,dievčina
neiu,slečna
neiu,dievča
nekroloog,nekrológ
nelikümmend,štyridsať
neliteist,štrnásť
neljapäev,štvrtok
neljas,štvrtý
neljateistkümnes,štrnásty
neodüüm,neodým
neologism,neologizmus
neutralisatsioon,neutralizácia
neutron,neutrón
nihverdaja,podvodník
niimoodi,takto
niivõrd,natoľko
nimetissõrm,ukazovák
nimetu,bezmenný
nimetus,pomenovanie
nimetus,názov
ninamees,šéf
ninasarvik,nosorožec
nisu,pšenica
nisu,žito
nonkonformist,disident
noogutama,pokyvovať
noogutama,prikyvovať
noogutama,prikývnuť
nool,šípka
nool,šíp
noor,mladý
noormees,mládenec
noormees,mladík
notar,notár
nukleotiid,nukleotid
nukrus,smútok
nutikas,bystrý
nutikas,šikovný
nutma,plakať
nutt,plač
nädal,týždeň
nägelus,zrážka
nägema,zazrieť
nägema,vidieť
nägema,pozrieť
nägemiseni,dovidenia
nägemist,dovidenia
nägu,tvár
nähtavalt,viditeľne
nähtus,úkaz
nähtus,jav
näide,príklad
näidustus,indikácia
näiliselt,zrejme
näiteks,napríklad
näitleja,herec
näitlejanna,herečka
näitus,výstava
näitus,expozícia
näitus,prehliadka
näljahäda,hladomor
närukael,lump
närukael,zloduch
närviline,nervózny
näts,žuvačka
nõid,čarodejnica
nõid,bosorka
nõid,striga
nõrgenema,oslabiť
nõrgenema,ochabovať
nõrgenema,slabnúť
nõrgenema,zoslabnúť
nõu,riad
nõu,nápoveda
nõu,rada
nõu,nádoba
nõuandev,poradný
nõue,nárok
nõue,požiadavka
nördimus,rozhorčenie
nöör,motúz
nöör,šnúrka
nöör,špagát
nüanss,odtieň
nüri,tupý
nüüdisaeg,dnešok
objekt,objekt
odav,lacný
ohmakas,truľo
ohmakas,trúba
ohmoon,ťulpas
ohmoon,hlupáčik
ohtlik,nebezpečný
ohtlikkus,nebezpečenstvo
ohvitser,dôstojník
oja,potok
okeanograaf,oceánograf
oks,konár
oks,vetva
oksüdeerumine,oxidácia
oktett,oktet
okultist,okultista
olelus,bytie
olema,byť
olema,existovať
olematu,neexistujúci
olematus,neexistencia
olematus,nebytie
olevik,prítomnosť
olevik,súčasnosť
olukord,situácia
olupoliitik,prospechár
omaabi,svojpomoc
omadus,vlastnosť
omaja,majiteľ
omand,vlastníctvo
onu,strýko
onu,ujo
ookeaniline,oceánsky
ooper,opera
ootamatult,nečakane
ootamatult,neočakávane
ootus,očakávanie
operatsioon,operácia
oportunism,oportunizmus
organ,orgán
organisatsioon,organizácia
organiseerija,zakladateľ
orjastama,zotročiť
orkester,orchester
orv,vypuklina
orv,vychlípenina
osa,súčasť
osa,časť
osa,diel
osakaal,percento
osavõtja,zúčastnený
osavõtja,účastník
oskama,dokázať
oskama,vedieť
oskuslik,obratný
oskuslik,skúsený
oskuslik,šikovný
osmoos,osmóza
osuti,ukazovateľ
osutuma,ukázať
otsaesine,čelo
otsekohe,bezodkladne
otseselt,priamo
otstarve,účel
otstarve,určenie
otsustama,rozhodnúť
otsustavalt,rozhodne
otu,hlupák
ovatsioon,ovácie
paabel,neporiadok
paabulind,páv
paadimees,prievozník
paarik,dvojica
paas,mramor
paasapühad,pesach
paavst,pápež
pael,mašľa
pael,stuha
pagan,neveriaci
pagas,batožina
pagulane,utečenec
pagulane,emigrant
pahandama,hnevať
pahandama,nadávať
paigaldamine,rozvod
paigaldamine,umiestnenie
paik,záplata
paik,miesto
paindlik,pružný
paistetus,opuchlina
paistetus,opuch
paistma,zdať
paistma,svietiť
paistma,javiť
paistma,pripadať
pakend,balenie
pakkuma,ponúkať
pakkuma,ponúknuť
pakkuma,poskytovať
pakkuma,poskytnúť
palavikuliselt,horúčkovito
paleontoloogia,paleontológia
palm,dlaň
palverändur,pútnik
palvevend,kazateľ
pangaautomaat,bankomat
pangakonto,konto
pank,banka
pann,panvica
pannal,spona
panus,stávka
panus,príspevok
panus,prínos
pappel,topoľ
paprika,paprika
parandamine,oprava
parandamine,opravovanie
parem,lepší
parem,pravý
paremalt,sprava
parisnik,podfukár
parkima,parkovať
parkimine,parkovanie
parkla,parkovisko
parm,ožran
parodeerima,parodovať
part,kačica
part,kačka
partii,set
paruness,barónka
passiivselt,pasívne
pastell,pastel
pateetiline,patetický
peagi,onedlho
peakokk,šéfkuchár
peakontor,centrála
peal,navrchu
peal,na
peale,okrem
peale,navrch
peale,vynímajúc
peale,na
pealik,šéf
pealkiri,nadpis
pealtkuulaja,sliedič
pealtnäha,zrejme
pealtvaataja,divák
pealtvaataja,prizerač
peaminister,premiér
peaosa,hlava
peapööritus,závrat
peatus,zastávka
peatus,odročenie
pedaal,pedál
pediküür,pedikúra
pedofiil,pedofil
pehme,mäkký
pension,dôchodok
pension,penzia
penskar,dôchodca
penss,dôchodok
perekonnanimi,priezvisko
perenaine,pani
perfektsionism,perfekcionizmus
perfektsionist,perfekcionista
peroksiid,peroxid
pesa,hniezdo
pesema,vyprať
pesema,prať
pesema,umyť
pesema,umývať
pesema,omyť
pessimist,pesimista
petma,oklamať
petma,mámiť
petma,nahovárať
petma,podviesť
petma,podvádzať
petma,dostať
petrool,ropa
petrooleum,ropa
pettuma,sklamať
pidama,podržať
pidama,mať
pidama,zdržiavať
pidama,prevádzkovať
pidama,považovať
pidama,držať
pidama,musieť
pidama,pokladať
pidamine,udržiavanie
pidev,súvislý
pidev,stály
pidev,sústavný
pidev,nepretržitý
pidev,kontinuálny
pidev,neustály
pidulik,slávnostný
pidžaama,pyžamo
pigem,trochu
piibel,Biblia
piiga,slečna
piimanaine,mliekár
piimjas,mliečny
piinlik,nepríjemný
piinlik,trápny
piiratud,obmedzený
piirijoon,hranica
piisama,postačiť
piisama,vystačiť
piisama,stačiť
piisavalt,dosť
pikendama,predĺžiť
pikendama,natiahnuť
pikendatud,predĺžený
pikendus,predĺženie
pikk,vysoký
pikk,dlhý
pikkamööda,pomaly
pikne,blesk
pilet,vstupenka
piljard,biliard
pilk,pohľad
pillimees,hudobník
pillimees,muzikantka
pillimängija,muzikantka
piloot,pilot
pime,temno
pimendama,zatemniť
pinge,napätie
pingutus,vypätie
pingutus,námaha
pintsel,štetka
pintsel,štetec
piparmünt,mäta
pisar,kvapka
pisar,slza
pistikupesa,zásuvka
pistma,nabodnúť
pistma,šupnúť
pistma,zastrčiť
pistma,vsunúť
pistma,strčiť
pistma,napichnúť
pistoda,dýka
plaan,plán
plaaster,obväz
plaaster,náplasť
planeet,planéta
plats,miesto
plats,pľac
plats,námestie
pleekima,bieliť
pleier,prehrávač
poeem,báseň
poeet,básnik
poepidaja,obchodník
pojapoeg,vnuk
poju,syn
poleerima,vyleštiť
poleerima,leštiť
poliitiline,politický
polüstüreen,polystyrén
pood,predajňa
pood,obchod
pool,polovička
poom,výložník
populaarne,populárne
populaarsus,popularita
porgand,mrkva
porrulauk,pór
ports,várka
ports,dávka
ports,halda
ports,množstvo
positiivne,pozitívny
possessor,vlastník
postament,podstavec
postiga,poštou
potentsiaalselt,potenciálne
praad,steak
praad,pečienka
praad,jedlo
praadima,vysmážať
praadima,usmažiť
praadima,smažiť
praadima,vyprážať
praam,prístav
praktika,prax
praktika,praktika
praktiline,praktický
praktiliselt,prakticky
prerogatiiv,privilégium
pretsedent,precedens
prillid,okuliare
prints,princ
printsess,princezná
prisma,hranol
privileeg,privilégium
privileeg,výsada
privilegeeritud,privilegovaný
professionaalne,profesionálny
professionalism,profesionalizmus
professor,profesor
profisportlane,profesionál
prolaps,pokles
promeetium,prométium
pronks,bronz
proosaline,prozaický
proov,skúška
proovivõtt,vzorkovanie
protest,protest
protokoll,evidencia
protseduur,procedúra
proua,pani
pruut,nevesta
psühholoog,psychológ
psühholoogia,psychológia
psühholoogiline,psychologický
publik,diváci
publik,publikum
publitsist,novinár
pudipõll,podbradník
puhastamine,čistenie
puhastamine,očista
puhtand,čistopis
puhuma,pofúkať
puhuma,trúbiť
puhuma,vanúť
puhuma,zaviať
puhuma,fúkať
puhuma,viať
puiestee,trieda
puiestee,aleja
puiestee,alej
puittaim,drevina
pukk,podstavec
pulk,tyčinka
pulk,kolík
pullover,pulóver
punkt,stanovište
punkt,bodka
punkt,bod
puru,prachy
puru,bubáky
puru,peniaze
purunema,rozpadnúť
purunema,rozbiť
purunema,prasknúť
puu,strom
puue,nespôsobilosť
puuk,kliešť
puunott,záznam
puur,koterec
puur,gól
puur,klietka
puuvili,ovocie
päev,deň
päevane,každodenný
päevane,denný
päike,slnko
päikesevari,slnečník
päkapikk,trpaslík
pärastlõuna,poobedie
pärastlõuna,popoludnie
pärastlõuna,popoludní
pärilik,dedičný
pärimus,tradícia
pärisorjus,človečenstvo
pärisorjus,poddanstvo
pärisorjus,otroctvo
päritolu,pôvod
pääsema,vymaniť
pääsema,dostať
pääsema,vyviaznuť
päästmine,záchrana
päästmine,zachránenie
pääsuke,lastovička
põgenema,utiecť
põgusalt,stručne
põgusalt,krátko
põhiarv,mocnenec
põhiline,podstatný
põhiliselt,podstatne
põhimõtteline,zásadný
põhimõtteliselt,zásadne
põhinema,spočívať
põhinema,vychádzať
põhinema,zakladať
põhinema,založený
põhjalik,dôkladný
põhjapõder,sob
põldlõoke,škovránok
põletik,zápal
põllumees,poľnohospodár
põllumees,farmár
põllumees,roľník
põlv,generácia
põlv,koleno
põlv,pokolenie
põlvnevus,klesanie
põnev,fascinujúci
põnev,napínavý
põnev,úchvatný
põud,sucho
pöial,palec
pöörduma,odbočiť
pöörduma,otočiť
pöörduma,uchýliť
pöörduma,obrátiť
pöörduma,zahnúť
pöördumine,oslovenie
pööre,obrat
pööre,obrátka
pööre,otáčka
pööre,prelom
pööre,prevrat
pööre,výhybka
pööre,zvrat
pööritav,závratný
püha,svätý
pühaduseteotus,svätokrádež
pühendama,zasvätiť
pühendama,venovať
pühkmed,odpadky
püloon,pylón
püree,pretlak
püree,pyré
püriit,pyrit
püü,jarabica
püüdma,loviť
püüdma,snažiť
püüdma,lapať
püüdma,usilovať
püüdma,uloviť
raadium,rádium
raamat,kniha
raamatukogu,knižnica
raamatupood,kníhkupectvo
rabatt,rabat
radiaator,radiátor
radioaktiivsus,rádioaktivita
raev,zloba
raev,hnev
raev,zúrivosť
raevukas,zúrivý
raevutsema,zlosť
raha,peniaze
rahakott,peňaženka
rahaliselt,peňažne
rahaühik,mena
rahu,mier
rahu,pokoj
rahuldav,uspokojivý
rahulikkus,pokoj
rahulikult,pokojne
rahvas,ľud
rahvas,ľudia
rahvas,národ
rahvus,národ
rahvus,národnosť
rahvussotsialist,nacista
raiskav,nehospodárny
raja,hrana
rajakas,podliak
rajoon,rajón
rajoon,obvod
rambus,únava
rammestus,únava
rammestus,ukonanosť
raps,repka
rasedus,tehotenstvo
ratastool,vozík
ratastool,invalidný vozík
ratifitseerimine,ratifikácia
ratsanik,džokej
raud,železo
raviarst,lekár
reageeriv,citlivý
realiseerima,realizovať
realistlik,realistický
rebane,líška
rebane,prvák
redis,reďkev
refektoorium,refektár
referaat,referát
reform,reforma
reformaator,reformátor
reformija,reformista
registratuur,podateľňa
registreering,záznam
registreeritud,registrovaný
registripidaja,registrátor
regulaarne,pravidelný
regulaarne,regulárny
regulaarselt,pravidelne
regulaarselt,regulárne
regulaarsus,poradie
reguleerima,regulovať
reguleerima,nastaviť
reha,hrable
rehabiliteerima,ospravedlniť
reklaam,reklama
reklaamima,robiť reklamu
reklaamima,promovať
remont,prestavba
remont,oprava
remont,rekonštrukcia
reovesi,splašky
respiraator,respirátor
restauratsioon,renovácia
retort,odseknutie
retsept,recept
revolutsiooniline,revolučný
režissöör,režisér
rida,riadok
rida,rad
riided,oblečenie
riided,odev
riided,šatstvo
riidevärv,náter
riidevärv,farba
riie,tkanina
riie,plátno
riie,šaty
riigistama,znárodniť
riitus,obrad
riivima,ostrúhať
riivima,strúhať
riivima,nastrúhať
riivsai,strúhanka
rikas,bohatý
ringi,dokruhu
ringi,dookola
ringi,okolo
ringkond,obor
ringkond,doména
ringlev,obežný
ristama,krížiť
ristand,kríženec
ristikäik,kláštor
ristilöömine,ukrižovanie
ristiusk,kresťanstvo
ristkülik,obdĺžnik
ristsõna,krížovka
rivaal,rival
rivaal,sok
rohkem,viac
rohttaim,bylina
roid,vysilenie
roidumus,únava
roidumus,malátnosť
rong,vlak
ronima,preliezť
ronima,liezť
ronima,šplhať
roodium,ródium
rootor,rotor
rootslane,švéd
rootslanna,švédka
ropp,špinavý
ropp,chrapúnsky
ropp,oplzlý
ropp,neslušný
rosmariin,rozmarín
rott,krysa
rott,potkan
rubla,rubeľ
rumalalt,hlúpo
rumaluke,ťulpas
räme,drsný
rämps,odpad
rändlev,kočovný
rätsep,krajčír
rätsep,krajčírka
rääkima,hovoriť
rääkima,porozprávať
rääkima,rozprávať
rõhk,dôraz
rõhk,prízvuk
rõhk,tlak
rõuged,kiahne
röster,hriankovač
röövima,vylúpiť
röövima,vykradnúť
röövima,okradnúť
röövima,uniesť
rühm,oddiel
rühm,skupina
rühm,čata
rünnak,napadnutie
rünnak,nápor
rünnak,útok
rünne,útok
saade,program
saade,relácia
saadik,delegát
saadik,poslanec
saadik,posol
saadik,vyslanec
saag,píla
saaja,príjemca
saaja,adresát
saak,úroda
saak,úlovok
saak,korisť
saama,poberať
saama,dostať
saama,stať
saama,vyťažiť
saama,získať
saarlane,ostrovan
saarlanna,ostrovanka
saarmas,vydra
saatkond,vyslanectvo
sada,sto
sadu,dážď
saepuru,piliny
safiir,zafír
sagedus,frekvencia
sagedus,početnosť
sakslane,Nemec
salapolitseinik,detektív
sall,šál
salmonella,salmonela
sama,rovnako
sama,rovnaký
sama,zhodne
sama,zhodný
samm,krok
sammastik,kolonáda
sammud,kroky
sandaal,sandál
sarkastiline,sarkastický
sarkoom,sarkóm
sarnane,podobný
satiir,satira
savinõud,kamenina
seaduseelnõu,účet
seaduslik,zákonný
seaduslik,legálny
seal,tam
sealt,odtiaľ
seas,uprostred
seas,v
seas,medzi
seebu,zebu
seeder,céder
seeme,semeno
seemnealge,ovulum
seen,huba
seeria,séria
seesam,sézam
seevastu,hoci
seevastu,napriek
segama,vyrušiť
segama,namiešať
segama,zamiešať
segama,miešať
segama,zmiesiť
segatud,zmiešaný
segisti,mixér
seinatühe,vypuklina
seisak,nečinnosť
seisak,zastavenie
seisak,pauza
seismine,státie
seismine,zastávka
seisund,status
seitsekümmend,sedemdesiat
seitsmes,siedmy
seksuaalselt,pohlavne
sekt,sekta
seletama,vysvetliť
selge,číry
selge,zreteľný
selge,výrazný
selge,jasný
selgesõnaline,výslovný
selgitama,osvetliť
selgitama,objasniť
sellepärast,preto
senaator,senátor
seni,zatiaľ
seni,ešte
sensuaalsus,zmyselnosť
sentiliiter,centiliter
seos,súvislosť
seos,spojitosť
seos,pomer
servik,okraj
sfinks,sfinga
side,spojka
sidekriips,spojovník
sidumata,neviazaný
siga,sviňa
siga,prasa
siga,ošípaná
sigaret,cigareta
sihtfond,nadácia
sihtkapital,dotácia
siia,sem
siiani,potiaľ
siiani,doteraz
siin,tu
siinusfunktsioon,sínusoida
siis,tak
siis,potom
siis,následne
siit,stadeto
siit,odtiaľto
silm,oko
silmamarjad,trachóm
siluett,silueta
sinu,tvoj
sipelgas,mravec
sirgelt,spriama
sisaldama,obsahovať
sisaldama,zahŕňať
sisse lülitama,zapnúť
sissepoole,dovnútra
sisutihedalt,stručne
sitt,špinavosť
sitt,nečistota
siuglev,červovitý
skeem,schéma
sodomiit,sodomista
soe,teplý
soe,teplo
soe,vrelý
sohk,podvod
sohva,pohovka
sokk,cap
sokk,srnec
sokk,ponožka
soldan,vojak
solidaarsus,solidarita
solvama,uraziť
sonaat,sonáta
soo,močiar
soome,fínsky
sosistama,pošepkať
sosistama,šepkať
sosistama,šuškať
sotsialism,socializmus
sotsialistlik,socialistický
spetsiifiline,špecifický
spinat,špenát
sponsor,podporovateľ
sponsor,sponzor
sponsor,stúpenec
sport,šport
staadion,štadión
staatiline,statický
standardiseerimine,štandardizácia
startima,odštartovať
startima,štartovať
statistiliselt,štatisticky
stigmata,stigmy
stiil,štýl
streik,štrajk
stress,stres
strukturalism,štrukturalizmus
struktuur,štruktúra
stsenaarium,scenár
subsiidium,dotácia
subsiidium,príspevok
subtiiter,titulka
suhkur,cukor
suhtlema,komunikovať
suhtlemine,komunikovanie
suhtlemine,komunikácia
sukkpüksid,pančucha
sulestik,operenie
sulgemine,zastavenie
sulgemine,zatvorenie
sulgurlihas,zvierač
summa,suma
sundhirm,fóbia
sunnitud,vynútený
surema,umrieť
surema,zomrieť
surnuaed,cintorín
surnud,mŕtvy
suruma,natlačiť
suruma,potlačiť
suruma,stískať
suruma,tlačiť
suudlus,bozk
suuliselt,verbálne
suunas,voči
suund,smer
suunduma,dať
suunduma,smerovať
suunduma,zamieriť
suunduma,hlava
suunduma,mieriť
suur,veľký
suur,vysoký
suur,početný
suurendus,zväčšenie
suurenemine,zväčšovanie
suurenemine,vzostup
suusatama,lyžovať
suusk,lyža
suveniir,suvenír
säilitama,zachovávať
säilitama,udržiavať
säilitama,zachovať
säilitama,uchovať
säilitama,udržať
sälg,žriebä
sära,lesk
säravalt,brilantne
sõdur,vojak
sõgedus,slepota
sõidutee,vozovka
sõimama,zvoziť
sõimama,sfúknuť
sõimama,vynadať
sõimama,znosiť
sõit,jazda
sõjamees,bojovník
sõlmimine,záver
sõltumatus,nezávislosť
sõna-sõnalt,doslovne
sõnalisus,slovo
sõnastama,sformulovať
sõprus,kamarátstvo
sõprus,družba
sõprus,priateľstvo
sõrmkindad,rukavice
sõrmus,krúžok
sõõrik,šiška
söökla,jedáleň
süda,srdce
südameatakk,infarkt
südamlik,srdečný
sügav,hlboký
sügavkülmik,mraziareň
sügavus,hĺbka
sügelema,svrbieť
sügoot,zygota
sümbol,symbol
sümbolism,symbolizmus
sümfooniline,symfonický
sümpaatsus,súcit
sümpoosion,sympózium
sümptom,príznak
sündima,donútiť
sündima,nútiť
sündima,prinútiť
sündinud,narodený
sündsus,slušnosť
sünoptiline,prehľadný
süstal,striekačka
süsteem,systém
süü,vina
süüdistus,žaloba
süüdistus,stíhanie
süüdistus,obvinenie
süüdvest,juhozápad
ta,ona
ta,on
taas,opätovne
taas,opäť
taas,zase
taas,znova
taas,znovu
taas,zas
taas,zasa
taaskehtestama,obnoviť
taastusravi,rehabilitácia
tabamus,hit
tabamus,trefa
tabamus,zásah
taevalaotus,obloha
tagajärg,účinok
tagajärg,výsledok
tagant,zozadu
taha,dozadu
tahe,vôľa
tahke,pevný
tahke,tuhý
tahtmine,chcenie
tahtmine,chuť
tahtmine,túžba
taimetoitlus,vegetariánstvo
takistama,brániť
takistama,zabrániť
taksojuht,taxikár
taktitundeline,taktný
taldrik,tanier
talje,pás
talje,driek
taltsutaja,krotiteľ
talumajapidamine,farma
talunik,roľník
taluvus,tolerancia
tapja,zabijak
tapmine,zabitie
tarbija,spotrebiteľ
tarbija,konzument
tarnija,dodávateľ
tarvis,potreba
tasakaalus,vyvážený
tasand,úroveň
tasand,stupeň
tasand,level
tase,úroveň
tase,hladina
taskurätik,vreckovka
tasuta,zadarmo
tava,obyčaj
tavaline,obyčajný
tavaline,bežný
tavaline,zvyčajný
teadaolev,známy
teadlik,uvedomelý
teadlik,vedomý
teadmatus,neinformovanosť
teadmatus,nevedomosť
teadmatus,neznalosť
teadmatus,neznámo
teadmus,vedomosti
teaduskond,fakulta
teadvus,vedomie
teatama,ohlásiť
teatama,oznámiť
tee,cesta
teekond,cesta
teenekas,zaslúžilý
teenindama,obslúžiť
teenindama,obsluhovať
teenistuskäik,kariéra
teeröövel,únosca
teeröövel,zbojník
tegelema,zaoberať
tegelikkus,realita
tegevusetus,neaktívnosť
tegevusetus,nečinnosť
tegutsema,konať
tegutsema,robiť
tegutsema,vykonávať
tehas,továreň
tehas,fabrika
tehas,závod
teie,vy
teile,vám
teisitimõtleja,oponent
teismeline,adolescent
teismeline,dospievajúci
teismeline,mladistvý
teismeline,násťročný
teismeline,teenager
teismeline,tínedžer
teistsugune,odlišný
teistsugune,iný
teksad,rifle
teksad,nohavice
teksad,džínsy
tekst,text
telegramm,telegram
teler,televízor
teler,televízia
televisioon,televízor
televisioon,televízia
telk,stan
tellimus,predplatné
temperatuur,teplota
tempo,tempo
tempo,rýchlosť
tempo,krok
tennisemängija,tenista
teostama,uskutočňovať
teostama,uplatňovať
tera,zrno
tera,ostrie
tera,čepeľ
teraapia,terapia
teras,oceľ
teravili,obilnina
teravili,zrno
tere,ahoj
tere tulemast,vitajte
termin,termín
termostaat,termostat
terrorist,terorista
terviklikkus,úplnosť
terviklikkus,celistvosť
tervis,zdravie
tervisekahjustus,choroba
testament,testament
testima,testovať
testima,vyskúšať
tibu,kura
tibu,kurča
tihedus,hustota
tihti,často
tiigel,kelímok
tikand,výšivka
tilk,štipka
timukas,kat
tingima,dohadovať
tingima,zjednávať
tipp,vrchol
tipp,špička
toapoiss,komorník
tobuke,ťulpas
toetamine,podporovanie
toetus,podpora
toetus,príspek
toetus,zabezpečenie
tohlakas,hlupák
tohlakas,trúba
tohman,ťulpas
tohter,doktorka
tohutu,ohromný
tohutu,obrí
tohutu,obrovský
toimetamine,editácia
toll,clo
tolmuimeja,vysávač
tolmulapp,prachovka
tomat,paradajka
tontlik,strašidelný
toode,výrobok
toode,produkt
toores,surový
toores,nezrelý
toores,brutálny
tootlikult,produktívne
tootma,vyrobiť
tootma,vyrábať
topoloogia,topológia
topsisõber,pijan
topsisõber,korheľ
torn,veža
tornaado,tornádo
tort,torta
torulukksepp,inštalatér
totakas,ťulpas
traditsioon,tradícia
traktor,traktor
treenija,tréner
trellpuur,vrták
trepikoda,schodisko
triaad,trojica
triangel,trojuholník
tribunal,tribunál
triip,trajektória
triip,prúžok
triip,pruh
triumviraat,triumvirát
troll,trolejbus
troon,trón
troposfäär,troposféra
trumm,bubon
truu,verný
träni,trosky
tsentreeritud,sústredený
tsitrus,citrus
tsükkel,obdobie
tsüklotron,cyklotrón
tsütoloogia,cytológia
tsütoplasma,cytoplazma
tualett,toaleta
tualett,záchod
tualettruum,toaleta
tubakas,tabak
tudeng,študent
tuff,tuf
tugev,pevný
tugev,silný
tugev,sýty
tugev,ťažký
tuhat,tisíc
tuhatoos,popolník
tuju,nálada
tujukas,náladový
tuleohtlik,horľavý
tuletis,derivát
tuletõrjuja,hasič
tulev,prichádzajúci
tuline,vrúcny
tuline,vrelý
tuliselt,vášnivo
tulistama,ostreľovať
tund,hodina
tundmine,cítenie
tunduma,javiť
tunduma,zdať
tunduma,pripadať
tungraud,zdvihák
tunked,kombinéza
tunne,cit
tunne,pocit
tunne,zmysel
tunnistama,uznať
tunnistama,zveriť
tunnistama,vypovedať
tunnistama,svedčiť
tunnistama,priznať
tunnus,znak
turg,dopyt
turniir,turnaj
turvavöö,pás
tuuker,potápač
tuul,vietor
tuumor,tumor
tädi,teta
tähelepanelik,šetrný
tähelepanelik,pozorný
tähelepanelik,ohľaduplný
tähelepanelikult, pozorne
tähelepanelikult, šetrne
tähelepanelikult, ohľaduplne
täht,hviezda
tähtaeg,uzávierka
tähtaeg,deadline
tähtaeg,termín
tähtkuju,súhvezdie
tähtpäev,výročie
tähtsusetu,bezvýznamný
tähtsusetu,irelevantný
tähtsusetu,nedôležitý
täidlus,tučnota
täielikult,celkom
täielikult,úplne
täiendav,dodatočný
täitumine,uskutočnenie
täitumine,naplnenie
täitumine,naplňovanie
täke,zárez
täna,dnes
tänama,ďakovať
tänapäev,dnešok
tänav,ulica
täpselt,presne
täpsustama,upresniť
täpsustama,spresniť
tõbi,choroba
tõde,pravdivosť
tõenäoliselt,zrejme
tõeselt,pravdivo
tõlge,preklad
tõlkija,prekladateľ
tõmblus,trhnutie
tõrkuv,neochotný
tõrv,decht
tõsiasi,skutočnosť
tõsiasi,fakt
tõsine,vážny
tõug,plemeno
tõusuvesi,príliv
töömees,robotník
tööstur,priemyselník
töötama,robiť
töötama,pracovať
töötamine,fungovanie
töötav,pracovný
töötlema,upravovať
töötlema,spracovať
töötlemine,upravovanie
töötlemine,spracovanie
töötus,nezamestnanosť
tüdruk,dievčatko
tühistamine,zrušenie
tühistamine,storno
tühistamine,odvolanie
tüli,konflikt
tüli,rozpor
tüli,hádka
tüliasi,rozpor
tüliasi,spor
tülitama,otravovať
tülitama,dobiedzať
tülitama,dotierať
tülitama,obťažovať
tütar,dcéra
tütarlaps,dievčatko
tütremees,zať
tütrepoeg,vnuk
tüüpiliselt,typicky
uba,bôb
uba,fazuľa
udune,hmlistý
udune,rozmazaný
uhke,pyšný
uhke,hrdý
uhke,honosný
uimasti,liek
uimasti,narkotikum
ujuja,plavec
ujumine,plávanie
uksehoidja,vrátnik
ullike,hlupáčik
umbes,asi
umbes,okolo
umbes,približne
unifitseeritud,zjednotený
unistus,sen
unustama,zabudnúť
unustatud,zabudnutý
uppuma,utopiť
uppuma,topiť
uppuma,potopiť
usaldus,dôvera
uskumatu,neveriaci
uskumatu,neuveriteľný
uskumatu,nedôverčivý
